,State,County,Heart Disease Mortality Rate,Value Unit,Location ID
0,AK,Aleutians East,172.9,"per 100,000 population",2013
1,AK,Aleutians West,172.2,"per 100,000 population",2016
2,AK,Anchorage,243.3,"per 100,000 population",2020
3,AK,Bethel,337.1,"per 100,000 population",2050
5,AK,Denali,240.9,"per 100,000 population",2068
6,AK,Dillingham,366.5,"per 100,000 population",2070
7,AK,Fairbanks North Star,276.7,"per 100,000 population",2090
8,AK,Haines,261.0,"per 100,000 population",2100
9,AK,Hoonah-Angoon,272.0,"per 100,000 population",2105
10,AK,Juneau,266.8,"per 100,000 population",2110
11,AK,Kenai Peninsula,284.2,"per 100,000 population",2122
12,AK,Ketchikan Gateway,277.8,"per 100,000 population",2130
13,AK,Kodiak Island,290.3,"per 100,000 population",2150
14,AK,Kusilvak,95.2,"per 100,000 population",2158
15,AK,Lake and Peninsula,289.5,"per 100,000 population",2164
16,AK,Matanuska-Susitna,228.3,"per 100,000 population",2170
17,AK,Nome,471.8,"per 100,000 population",2180
18,AK,North Slope,332.5,"per 100,000 population",2185
19,AK,Northwest Arctic,392.0,"per 100,000 population",2188
20,AK,Petersburg,244.3,"per 100,000 population",2195
21,AK,Prince of Wales-Hyder,289.4,"per 100,000 population",2198
22,AK,Sitka,283.5,"per 100,000 population",2220
24,AK,Southeast Fairbanks,254.4,"per 100,000 population",2240
25,AK,Valdez-Cordova,239.2,"per 100,000 population",2261
26,AK,Wrangell,256.7,"per 100,000 population",2275
28,AK,Yukon-Koyukuk,280.6,"per 100,000 population",2290
540,AL,Autauga County,388.7,"per 100,000 population",1001
541,AL,Baldwin County,362.6,"per 100,000 population",1003
542,AL,Barbour County,444.3,"per 100,000 population",1005
543,AL,Bibb County,491.8,"per 100,000 population",1007
544,AL,Blount County,437.9,"per 100,000 population",1009
545,AL,Bullock County,456.3,"per 100,000 population",1011
546,AL,Butler County,456.4,"per 100,000 population",1013
547,AL,Calhoun County,630.3,"per 100,000 population",1015
548,AL,Chambers County,366.8,"per 100,000 population",1017
549,AL,Cherokee County,442.1,"per 100,000 population",1019
550,AL,Chilton County,522.4,"per 100,000 population",1021
551,AL,Choctaw County,548.3,"per 100,000 population",1023
552,AL,Clarke County,472.4,"per 100,000 population",1025
553,AL,Clay County,521.6,"per 100,000 population",1027
