County,Number of Returns,Single Returns,Joint Returns,Elderly Returns,Total Income Amount,Returns w/ Uunemployment Compensation,Unemployment Compensation Amount
Abbeville County,9720.0,3580.0,3630.0,2550.0,435501.0,290.0,504.0
Acadia Parish,24310.0,9530.0,9260.0,5050.0,1165195.0,530.0,1716.0
Accomack County,15960.0,7250.0,5400.0,5040.0,733888.0,410.0,1355.0
Ada County,215920.0,100640.0,93250.0,52960.0,16258755.0,7000.0,25654.0
Adair County,28290.0,12050.0,11850.0,7240.0,1178772.0,940.0,3166.0
Adams County,395770.0,185890.0,147100.0,86640.0,22546888.0,13130.0,60101.0
Addison County,18930.0,9700.0,7500.0,6170.0,1206945.0,760.0,3040.0
Aiken County,73680.0,30610.0,28480.0,20960.0,4308916.0,1300.0,4092.0
Aitkin County,7460.0,3390.0,3400.0,3190.0,379822.0,540.0,3175.0
Alabama,2059680.0,855360.0,758110.0,503780.0,120089119.0,45520.0,135684.0
Alachua County,116260.0,60630.0,36580.0,28200.0,7398624.0,870.0,2515.0
Alamance County,73960.0,32390.0,26080.0,18080.0,3948298.0,880.0,2216.0
Alameda County,797060.0,406630.0,290690.0,166750.0,81285205.0,39330.0,198621.0
Alamosa County,6770.0,3180.0,2440.0,1590.0,321696.0,220.0,796.0
Alaska,349010.0,177250.0,125840.0,73860.0,24145909.0,78790.0,157086.0
Albany County,169470.0,92280.0,54790.0,45430.0,12808540.0,3830.0,18444.0
Albemarle County,50400.0,23850.0,21000.0,15320.0,5787935.0,580.0,2369.0
Alcona County,4910.0,2190.0,2330.0,2430.0,216264.0,230.0,879.0
Alcorn County,13690.0,5440.0,5400.0,3220.0,650903.0,240.0,680.0
Aleutians East Borou,900.0,510.0,200.0,150.0,48318.0,190.0,452.0
Aleutians West Censu,2030.0,1110.0,580.0,370.0,128676.0,470.0,1063.0
Alexander County,17850.0,7410.0,7600.0,4790.0,839077.0,270.0,925.0
Alexandria city,85130.0,51220.0,23560.0,15530.0,9388274.0,1430.0,6506.0
Alfalfa County,2000.0,790.0,1010.0,690.0,132437.0,30.0,138.0
Alger County,4110.0,1890.0,1870.0,1580.0,198506.0,290.0,1106.0
Allamakee County,6570.0,3030.0,2980.0,2140.0,316644.0,510.0,2536.0
Allegan County,56680.0,25340.0,25260.0,15390.0,3416116.0,2090.0,6946.0
Allegany County,47360.0,22190.0,18780.0,14080.0,2331382.0,2750.0,11725.0
Alleghany County,11490.0,4710.0,5250.0,3870.0,568504.0,310.0,935.0
Allegheny County,627880.0,339460.0,212390.0,177990.0,47645974.0,30900.0,161467.0
Allen County,241420.0,114970.0,87500.0,60830.0,13899990.0,5020.0,15964.0
Allen Parish,8570.0,3370.0,3220.0,1890.0,450242.0,260.0,1019.0
Allendale County,3180.0,1450.0,610.0,790.0,104627.0,60.0,158.0
Alpena County,14080.0,6970.0,5730.0,4990.0,650606.0,800.0,2980.0
Alpine County,450.0,220.0,160.0,170.0,24821.0,30.0,140.0
Amador County,17010.0,7430.0,7800.0,7130.0,1093439.0,880.0,4042.0
Amelia County,6210.0,2620.0,2620.0,1760.0,332830.0,130.0,455.0
Amherst County,14110.0,6120.0,5790.0,4030.0,691880.0,340.0,1105.0
Amite County,4840.0,1840.0,1840.0,1420.0,217786.0,130.0,481.0
Anchorage Municipali,145530.0,75820.0,49870.0,29280.0,11250556.0,31820.0,58471.0
Anderson County,154730.0,64440.0,62900.0,40230.0,8211579.0,3050.0,9766.0
Andrew County,8380.0,3460.0,3870.0,2370.0,500105.0,290.0,902.0
Andrews County,7390.0,2740.0,3440.0,1260.0,523836.0,110.0,470.0
Androscoggin County,50530.0,24830.0,18500.0,12200.0,2487730.0,1370.0,5590.0
Angelina County,36330.0,14840.0,13720.0,8500.0,1815787.0,1250.0,8560.0
Anne Arundel County,289050.0,139300.0,106340.0,68740.0,26015809.0,6870.0,32049.0
Anoka County,179190.0,87120.0,70870.0,40370.0,12508756.0,7180.0,40290.0
Anson County,9690.0,4030.0,2580.0,2370.0,362958.0,140.0,300.0
Antelope County,2960.0,1240.0,1470.0,1020.0,146605.0,40.0,161.0
Antrim County,11800.0,5360.0,5280.0,4750.0,672774.0,680.0,2449.0
Apache County,24990.0,10590.0,7020.0,5750.0,956844.0,1190.0,4389.0
Appanoose County,5410.0,2380.0,2370.0,1750.0,243471.0,390.0,1221.0
Appling County,7230.0,2700.0,2830.0,1740.0,329998.0,330.0,1022.0
Appomattox County,7140.0,2850.0,3160.0,2070.0,353056.0,180.0,573.0
Aransas County,10970.0,4610.0,4870.0,4300.0,690529.0,800.0,3245.0
Arapahoe County,317340.0,158980.0,112860.0,67160.0,26756283.0,7680.0,42076.0
Archer County,3930.0,1510.0,2010.0,1130.0,244089.0,70.0,362.0
Archuleta County,6600.0,2850.0,3040.0,2530.0,392196.0,180.0,819.0
Arenac County,7190.0,3280.0,3160.0,2680.0,321999.0,500.0,1812.0
Arizona,3022630.0,1395500.0,1105530.0,790580.0,196409231.0,70580.0,261522.0
Arkansas,1231690.0,509210.0,487480.0,301010.0,74328042.0,37740.0,122053.0
Arkansas County,7570.0,3100.0,2770.0,2140.0,379313.0,200.0,506.0
Arlington County,124840.0,79300.0,35120.0,21040.0,15643357.0,1690.0,7842.0
Armstrong County,32840.0,15100.0,14130.0,10150.0,1657306.0,3000.0,15035.0
Aroostook County,29950.0,13810.0,12730.0,9160.0,1374590.0,1570.0,6429.0
Arthur County,200.0,100.0,90.0,70.0,5768.0,0.0,0.0
Ascension Parish,53560.0,21190.0,21410.0,10150.0,3878310.0,1190.0,3698.0
Ashe County,11460.0,4610.0,5430.0,3880.0,517108.0,160.0,317.0
Ashland County,32200.0,14820.0,12460.0,9320.0,1569064.0,1330.0,5402.0
Ashley County,7840.0,2730.0,3230.0,2090.0,364583.0,300.0,1164.0
Ashtabula County,44400.0,20070.0,15700.0,12500.0,2035975.0,1790.0,8145.0
Asotin County,10070.0,4610.0,4120.0,3440.0,597324.0,410.0,1533.0
Assumption Parish,9200.0,3570.0,3350.0,2070.0,516369.0,320.0,922.0
Atascosa County,20890.0,8650.0,8000.0,4310.0,1079481.0,480.0,2416.0
Atchison County,9320.0,4220.0,3940.0,2930.0,488876.0,390.0,1413.0
Athens County,22210.0,10930.0,7470.0,5750.0,1105606.0,610.0,2851.0
Atkinson County,3100.0,1240.0,1020.0,580.0,97784.0,140.0,254.0
Atlantic County,133840.0,66820.0,41480.0,35300.0,7532097.0,10220.0,59618.0
Atoka County,5170.0,1990.0,2310.0,1340.0,221430.0,140.0,660.0
Attala County,7300.0,2860.0,2460.0,1780.0,317644.0,220.0,686.0
Audrain County,10550.0,4730.0,4230.0,3250.0,480716.0,280.0,664.0
Audubon County,2720.0,1230.0,1230.0,970.0,142734.0,110.0,498.0
Auglaize County,23710.0,10270.0,9230.0,6560.0,1385903.0,470.0,1756.0
Augusta County,35330.0,15020.0,16100.0,10780.0,1994870.0,660.0,2013.0
Aurora County,1290.0,550.0,630.0,450.0,59972.0,20.0,81.0
Austin County,14730.0,6260.0,6200.0,4270.0,1121839.0,390.0,1893.0
Autauga County,24150.0,9500.0,10010.0,5480.0,1357324.0,420.0,1316.0
Avery County,7150.0,3080.0,3220.0,2340.0,332717.0,80.0,219.0
Avoyelles Parish,15580.0,6100.0,5270.0,3610.0,675925.0,530.0,1867.0
Baca County,1550.0,660.0,720.0,580.0,45202.0,0.0,0.0
Bacon County,4190.0,1580.0,1630.0,900.0,176350.0,110.0,248.0
Bailey County,2650.0,930.0,1100.0,600.0,119352.0,50.0,230.0
Baker County,19250.0,7850.0,8070.0,5430.0,914677.0,540.0,1962.0
Baldwin County,115480.0,48370.0,47080.0,35160.0,7264257.0,2050.0,6646.0
